EMPRES-i Plus,,,,,,,,,,,,,,,,,
Date downloaded: 28/09/2023 09:11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Filters,,,,,,,,,,,,,,,,,
Disease: Influenza - Avian,,,,,,,,,,,,,,,,,
Serotype: H5N1 HPAI,,,,,,,,,,,,,,,,,
Region: Global,,,,,,,,,,,,,,,,,
Diagnosis source: All,,,,,,,,,,,,,,,,,
Diagnosis status: Confirmed,,,,,,,,,,,,,,,,,
Animal type: All,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
362455,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,OB_124645 - 23-015-01144 - SPIEKEROOG,53.762108,7.739868,OIE,Confirmed,Wild,Laridae (Unidentified):Laridae (Incognita)(Laridae),02/08/2023,05/09/2023,,
363046,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,OB_124213 - 20231380 - PLONÉOUR-LANVERN (29174),47.902636,-4.282903,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),02/08/2023,21/09/2023,,
360108,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Estonia,Harju maakond,RANDVERE,59.521758,24.910799,OIE,Confirmed,Wild,Great Cormorant (Phalacrocorax Carbo),01/08/2023,04/08/2023,,
360753,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Norway,Troms,BORKENES,68.701944,16.146944,OIE,Confirmed,Wild,Arctic Tern (Sterna Paradisea),01/08/2023,15/08/2023,,
363044,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bretagne,OB_124282 - 20231387 - CONCARNEAU (29039),47.885799,-3.931498,OIE,Confirmed,Wild,Herring Gull:larus Argentatus(Laridae),01/08/2023,21/09/2023,,
360097,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,YNYSLAS  CEREDIGON,52.49,-4.05,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,31/07/2023,04/08/2023,,
360098,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,LLANDUDNO  CONWY,53.32,-3.79,OIE,Confirmed,Wild,Cape Gannet Shy Albatross,31/07/2023,04/08/2023,,
360099,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,Wales,BARMOUTH  GWYNEDD,52.71,-4.01,OIE,Confirmed,Wild,Common Murre (Uria Aalge) ,31/07/2023,04/08/2023,,
363050,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,OB_124251 - 20231382 - BRETIGNOLLES SUR MER (85035),46.611569,-1.859398,OIE,Confirmed,Wild,Northern Gannet:morus Bassanus(Sulidae),31/07/2023,21/09/2023,,
360757,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Vejle,GREJS,55.766,9.5453,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),30/07/2023,16/08/2023,,
360235,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,PORTO TOLLE,44.849366,12.464176,OIE,Confirmed,Wild,Black Headed Gull (Chroicocephalus Ridibundus),29/07/2023,09/08/2023,,
